tournament,race,opponentrace,games,wins,draws,losses,percentage
EurOpen - 2014,Dwarves,Dark Elves,2,2,0,0,1.0
EurOpen - 2014,Dwarves,Amazons,2,0,1,1,0.25
EurOpen - 2014,Dwarves,Halflings,2,1,1,0,0.75
EurOpen - 2014,Dwarves,Khemri,1,0,0,1,0.0
EurOpen - 2014,Dwarves,High Elves,1,1,0,0,1.0
EurOpen - 2014,Dwarves,Lizardmen,7,3,2,2,0.5714285714285714
EurOpen - 2014,Dwarves,Wood Elves,2,0,0,2,0.0
EurOpen - 2014,Dwarves,Nurgle's Rotters,1,1,0,0,1.0
EurOpen - 2014,Dwarves,Necromantic,1,0,0,1,0.0
EurOpen - 2014,Dwarves,Norse,4,0,0,4,0.0
EurOpen - 2014,Dwarves,Goblins,1,1,0,0,1.0
EurOpen - 2014,Dwarves,Undead,10,2,3,5,0.35
EurOpen - 2014,Dwarves,Chaos,1,0,1,0,0.5
EurOpen - 2014,Dwarves,Humans,8,3,4,1,0.625
EurOpen - 2014,Dwarves,Elves,2,1,0,1,0.5
EurOpen - 2014,Dwarves,Orc,7,1,2,4,0.2857142857142857
EurOpen - 2014,Dwarves,Dwarves,8,3,2,3,0.5
EurOpen - 2014,Dwarves,Skaven,4,2,0,2,0.5
EurOpen - 2014,Dwarves,Chaos Dwarves,2,0,1,1,0.25
EurOpen - 2014,Skaven,Ogres,1,1,0,0,1.0
EurOpen - 2014,Skaven,Dark Elves,7,3,2,2,0.5714285714285714
EurOpen - 2014,Skaven,Khemri,1,0,0,1,0.0
EurOpen - 2014,Skaven,High Elves,2,1,1,0,0.75
EurOpen - 2014,Skaven,Lizardmen,3,0,1,2,0.16666666666666666
EurOpen - 2014,Skaven,Wood Elves,8,1,1,6,0.1875
EurOpen - 2014,Skaven,Nurgle's Rotters,3,2,1,0,0.8333333333333334
EurOpen - 2014,Skaven,Necromantic,1,1,0,0,1.0
EurOpen - 2014,Skaven,Norse,5,1,2,2,0.4
EurOpen - 2014,Skaven,Undead,3,2,0,1,0.6666666666666666
EurOpen - 2014,Skaven,Elves,2,0,0,2,0.0
EurOpen - 2014,Skaven,Orc,1,1,0,0,1.0
EurOpen - 2014,Skaven,Dwarves,4,2,0,2,0.5
EurOpen - 2014,Skaven,Chaos Dwarves,1,0,1,0,0.5
EurOpen - 2014,Chaos Dwarves,Ogres,1,1,0,0,1.0
EurOpen - 2014,Chaos Dwarves,Khemri,1,0,0,1,0.0
EurOpen - 2014,Chaos Dwarves,Lizardmen,1,0,0,1,0.0
EurOpen - 2014,Chaos Dwarves,Dwarves,2,1,1,0,0.75
EurOpen - 2014,Chaos Dwarves,Skaven,1,0,1,0,0.5
EuroBowl - 2004,Dark Elves,Khemri,1,0,0,1,0.0
EuroBowl - 2004,Dark Elves,High Elves,1,1,0,0,1.0
EuroBowl - 2004,Dark Elves,Necromantic,1,0,0,1,0.0
EuroBowl - 2004,Dark Elves,Humans,2,1,1,0,0.75
EuroBowl - 2004,Dark Elves,Orc,1,0,0,1,0.0
EuroBowl - 2004,Dark Elves,Dwarves,1,0,0,1,0.0
EuroBowl - 2004,Dark Elves,Skaven,1,0,1,0,0.5
EuroBowl - 2004,Amazons,Necromantic,1,1,0,0,1.0
EuroBowl - 2004,Amazons,Norse,2,0,1,1,0.25
EuroBowl - 2004,Amazons,Undead,3,2,0,1,0.6666666666666666
EuroBowl - 2004,Amazons,Humans,1,0,0,1,0.0
EuroBowl - 2004,Amazons,Elves,1,1,0,0,1.0
EuroBowl - 2004,Amazons,Orc,1,1,0,0,1.0
EuroBowl - 2004,Amazons,Dwarves,3,1,1,1,0.5
EuroBowl - 2004,Amazons,Chaos Dwarves,2,0,1,1,0.25
EuroBowl - 2004,Khemri,Dark Elves,1,1,0,0,1.0
EuroBowl - 2004,Khemri,Necromantic,2,0,2,0,0.5
EuroBowl - 2004,Khemri,Norse,1,1,0,0,1.0
EuroBowl - 2004,Khemri,Undead,3,1,0,2,0.3333333333333333
EuroBowl - 2004,Khemri,Humans,1,1,0,0,1.0
EuroBowl - 2004,Khemri,Orc,2,1,0,1,0.5
EuroBowl - 2004,Khemri,Dwarves,1,0,0,1,0.0
EuroBowl - 2004,Khemri,Skaven,1,0,0,1,0.0
EuroBowl - 2004,Khemri,Chaos Dwarves,3,0,1,2,0.16666666666666666
EuroBowl - 2004,High Elves,Dark Elves,1,0,0,1,0.0
EuroBowl - 2004,High Elves,Norse,3,0,1,2,0.16666666666666666
EuroBowl - 2004,High Elves,Undead,1,0,0,1,0.0
EuroBowl - 2004,High Elves,Elves,1,0,1,0,0.5
EuroBowl - 2004,Wood Elves,Wood Elves,2,1,0,1,0.5
EuroBowl - 2004,Wood Elves,Necromantic,5,1,2,2,0.4
EuroBowl - 2004,Wood Elves,Norse,2,0,1,1,0.25
EuroBowl - 2004,Wood Elves,Undead,1,0,1,0,0.5
EuroBowl - 2004,Wood Elves,Humans,2,1,0,1,0.5
EuroBowl - 2004,Wood Elves,Elves,2,1,1,0,0.75
EuroBowl - 2004,Wood Elves,Dwarves,2,0,0,2,0.0
EuroBowl - 2004,Wood Elves,Skaven,1,1,0,0,1.0
EuroBowl - 2004,Wood Elves,Chaos Dwarves,5,1,0,4,0.2
EuroBowl - 2004,Necromantic,Dark Elves,1,1,0,0,1.0
EuroBowl - 2004,Necromantic,Amazons,1,0,0,1,0.0
EuroBowl - 2004,Necromantic,Khemri,2,0,2,0,0.5
EuroBowl - 2004,Necromantic,Wood Elves,5,2,2,1,0.6
EuroBowl - 2004,Necromantic,Necromantic,2,1,0,1,0.5
EuroBowl - 2004,Necromantic,Norse,1,1,0,0,1.0
EuroBowl - 2004,Necromantic,Undead,1,0,0,1,0.0
EuroBowl - 2004,Necromantic,Elves,2,0,2,0,0.5
EuroBowl - 2004,Necromantic,Dwarves,2,1,1,0,0.75
EuroBowl - 2004,Necromantic,Chaos Dwarves,6,2,0,4,0.3333333333333333
EuroBowl - 2004,Norse,Amazons,2,1,1,0,0.75
EuroBowl - 2004,Norse,Khemri,1,0,0,1,0.0
EuroBowl - 2004,Norse,High Elves,3,2,1,0,0.8333333333333334
EuroBowl - 2004,Norse,Wood Elves,2,1,1,0,0.75
EuroBowl - 2004,Norse,Necromantic,1,0,0,1,0.0
EuroBowl - 2004,Norse,Norse,4,2,0,2,0.5
EuroBowl - 2004,Norse,Undead,1,1,0,0,1.0
EuroBowl - 2004,Norse,Humans,1,1,0,0,1.0
EuroBowl - 2004,Norse,Orc,7,1,1,5,0.21428571428571427
EuroBowl - 2004,Norse,Dwarves,2,1,0,1,0.5
EuroBowl - 2004,Norse,Skaven,4,3,0,1,0.75
EuroBowl - 2004,Norse,Chaos Dwarves,7,4,1,2,0.6428571428571429
EuroBowl - 2004,Undead,Amazons,3,1,0,2,0.3333333333333333
EuroBowl - 2004,Undead,Khemri,3,2,0,1,0.6666666666666666
EuroBowl - 2004,Undead,High Elves,1,1,0,0,1.0
EuroBowl - 2004,Undead,Wood Elves,1,0,1,0,0.5
EuroBowl - 2004,Undead,Necromantic,1,1,0,0,1.0
EuroBowl - 2004,Undead,Norse,1,0,0,1,0.0
EuroBowl - 2004,Undead,Undead,2,0,2,0,0.5
EuroBowl - 2004,Undead,Humans,1,0,0,1,0.0
EuroBowl - 2004,Undead,Elves,1,0,0,1,0.0
EuroBowl - 2004,Undead,Orc,2,0,1,1,0.25
EuroBowl - 2004,Undead,Dwarves,1,1,0,0,1.0
EuroBowl - 2004,Undead,Skaven,3,1,0,2,0.3333333333333333
EuroBowl - 2004,Undead,Chaos Dwarves,4,1,0,3,0.25
EuroBowl - 2004,Humans,Dark Elves,2,0,1,1,0.25
EuroBowl - 2004,Humans,Amazons,1,1,0,0,1.0
EuroBowl - 2004,Humans,Khemri,1,0,0,1,0.0
EuroBowl - 2004,Humans,Wood Elves,2,1,0,1,0.5
EuroBowl - 2004,Humans,Norse,1,0,0,1,0.0
EuroBowl - 2004,Humans,Undead,1,1,0,0,1.0
EuroBowl - 2004,Humans,Elves,1,1,0,0,1.0
EuroBowl - 2004,Humans,Orc,1,0,0,1,0.0
EuroBowl - 2004,Elves,Amazons,1,0,0,1,0.0
EuroBowl - 2004,Elves,High Elves,1,0,1,0,0.5
EuroBowl - 2004,Elves,Wood Elves,2,0,1,1,0.25
EuroBowl - 2004,Elves,Necromantic,2,0,2,0,0.5
EuroBowl - 2004,Elves,Undead,1,1,0,0,1.0
EuroBowl - 2004,Elves,Humans,1,0,0,1,0.0
EuroBowl - 2004,Elves,Elves,2,1,0,1,0.5
EuroBowl - 2004,Elves,Skaven,1,0,0,1,0.0
EuroBowl - 2004,Elves,Chaos Dwarves,2,1,0,1,0.5
EuroBowl - 2004,Orc,Dark Elves,1,1,0,0,1.0
EuroBowl - 2004,Orc,Amazons,1,0,0,1,0.0
EuroBowl - 2004,Orc,Khemri,2,1,0,1,0.5
EuroBowl - 2004,Orc,Norse,7,5,1,1,0.7857142857142857
EuroBowl - 2004,Orc,Undead,2,1,1,0,0.75
EuroBowl - 2004,Orc,Humans,1,1,0,0,1.0
EuroBowl - 2004,Orc,Dwarves,7,3,3,1,0.6428571428571429
EuroBowl - 2004,Orc,Skaven,2,1,0,1,0.5
EuroBowl - 2004,Orc,Chaos Dwarves,5,3,1,1,0.7
EuroBowl - 2004,Dwarves,Dark Elves,1,1,0,0,1.0
EuroBowl - 2004,Dwarves,Amazons,3,1,1,1,0.5
EuroBowl - 2004,Dwarves,Khemri,1,1,0,0,1.0
EuroBowl - 2004,Dwarves,Wood Elves,2,2,0,0,1.0
EuroBowl - 2004,Dwarves,Necromantic,2,0,1,1,0.25
EuroBowl - 2004,Dwarves,Norse,2,1,0,1,0.5
EuroBowl - 2004,Dwarves,Undead,1,0,0,1,0.0
EuroBowl - 2004,Dwarves,Orc,7,1,3,3,0.35714285714285715
EuroBowl - 2004,Dwarves,Dwarves,4,1,2,1,0.5
EuroBowl - 2004,Dwarves,Skaven,3,2,1,0,0.8333333333333334
EuroBowl - 2004,Dwarves,Chaos Dwarves,3,2,0,1,0.6666666666666666
EuroBowl - 2004,Skaven,Dark Elves,1,0,1,0,0.5
EuroBowl - 2004,Skaven,Khemri,1,1,0,0,1.0
EuroBowl - 2004,Skaven,Wood Elves,1,0,0,1,0.0
EuroBowl - 2004,Skaven,Norse,4,1,0,3,0.25
EuroBowl - 2004,Skaven,Undead,3,2,0,1,0.6666666666666666
EuroBowl - 2004,Skaven,Elves,1,1,0,0,1.0
EuroBowl - 2004,Skaven,Orc,2,1,0,1,0.5
EuroBowl - 2004,Skaven,Dwarves,3,0,1,2,0.16666666666666666
EuroBowl - 2004,Skaven,Skaven,4,1,2,1,0.5
EuroBowl - 2004,Skaven,Chaos Dwarves,1,1,0,0,1.0
EuroBowl - 2004,Chaos Dwarves,Amazons,2,1,1,0,0.75
EuroBowl - 2004,Chaos Dwarves,Khemri,3,2,1,0,0.8333333333333334
EuroBowl - 2004,Chaos Dwarves,Wood Elves,5,4,0,1,0.8
EuroBowl - 2004,Chaos Dwarves,Necromantic,6,4,0,2,0.6666666666666666
EuroBowl - 2004,Chaos Dwarves,Norse,7,2,1,4,0.35714285714285715
EuroBowl - 2004,Chaos Dwarves,Undead,4,3,0,1,0.75
EuroBowl - 2004,Chaos Dwarves,Elves,2,1,0,1,0.5
EuroBowl - 2004,Chaos Dwarves,Orc,5,1,1,3,0.3
EuroBowl - 2004,Chaos Dwarves,Dwarves,3,1,0,2,0.3333333333333333
EuroBowl - 2004,Chaos Dwarves,Skaven,1,0,0,1,0.0
EuroBowl - 2013,Dark Elves,Dark Elves,8,2,4,2,0.5
EuroBowl - 2013,Dark Elves,Slann,1,1,0,0,1.0
EuroBowl - 2013,Dark Elves,Amazons,8,2,3,3,0.4375
EuroBowl - 2013,Dark Elves,Halflings,1,1,0,0,1.0
EuroBowl - 2013,Dark Elves,High Elves,1,0,1,0,0.5
EuroBowl - 2013,Dark Elves,Lizardmen,6,2,0,4,0.3333333333333333
EuroBowl - 2013,Dark Elves,Wood Elves,9,2,2,5,0.3333333333333333
EuroBowl - 2013,Dark Elves,Necromantic,2,0,1,1,0.25
EuroBowl - 2013,Dark Elves,Norse,4,2,0,2,0.5
EuroBowl - 2013,Dark Elves,Undead,7,3,2,2,0.5714285714285714
EuroBowl - 2013,Dark Elves,Elves,1,0,0,1,0.0
EuroBowl - 2013,Dark Elves,Orc,10,5,1,4,0.55
EuroBowl - 2013,Dark Elves,Dwarves,4,3,0,1,0.75
EuroBowl - 2013,Dark Elves,Skaven,4,3,0,1,0.75
EuroBowl - 2013,Dark Elves,Chaos Dwarves,5,1,3,1,0.5
EuroBowl - 2013,Slann,Dark Elves,1,0,0,1,0.0
EuroBowl - 2013,Slann,High Elves,1,0,0,1,0.0
EuroBowl - 2013,Slann,Norse,1,0,0,1,0.0
EuroBowl - 2013,Slann,Undead,1,0,1,0,0.5
EuroBowl - 2013,Slann,Dwarves,1,1,0,0,1.0
EuroBowl - 2013,Slann,Skaven,1,1,0,0,1.0
EuroBowl - 2013,Amazons,Dark Elves,8,3,3,2,0.5625
EuroBowl - 2013,Amazons,Amazons,6,2,2,2,0.5
EuroBowl - 2013,Amazons,Halflings,1,1,0,0,1.0
EuroBowl - 2013,Amazons,High Elves,1,0,1,0,0.5
EuroBowl - 2013,Amazons,Lizardmen,2,0,1,1,0.25
EuroBowl - 2013,Amazons,Wood Elves,6,3,1,2,0.5833333333333334
EuroBowl - 2013,Amazons,Norse,5,4,0,1,0.8
EuroBowl - 2013,Amazons,Chaos Pact,1,1,0,0,1.0
EuroBowl - 2013,Amazons,Undead,4,2,0,2,0.5
EuroBowl - 2013,Amazons,Humans,2,1,0,1,0.5
EuroBowl - 2013,Amazons,Elves,1,0,1,0,0.5
EuroBowl - 2013,Amazons,Orc,3,2,0,1,0.6666666666666666
EuroBowl - 2013,Amazons,Dwarves,4,1,2,1,0.5
EuroBowl - 2013,Amazons,Chaos Dwarves,4,0,2,2,0.25
EuroBowl - 2013,Halflings,Dark Elves,1,0,0,1,0.0
EuroBowl - 2013,Halflings,Amazons,1,0,0,1,0.0
EuroBowl - 2013,Halflings,Khemri,1,0,0,1,0.0
EuroBowl - 2013,Halflings,Humans,2,0,1,1,0.25
EuroBowl - 2013,Halflings,Dwarves,1,0,1,0,0.5
EuroBowl - 2013,Khemri,Halflings,1,1,0,0,1.0
EuroBowl - 2013,Khemri,Norse,1,0,0,1,0.0
EuroBowl - 2013,Khemri,Undead,1,0,0,1,0.0
EuroBowl - 2013,Khemri,Elves,1,0,0,1,0.0
EuroBowl - 2013,Khemri,Orc,1,0,0,1,0.0
EuroBowl - 2013,Khemri,Dwarves,1,0,0,1,0.0
EuroBowl - 2013,High Elves,Dark Elves,1,0,1,0,0.5
EuroBowl - 2013,High Elves,Slann,1,1,0,0,1.0
EuroBowl - 2013,High Elves,Amazons,1,0,1,0,0.5
EuroBowl - 2013,High Elves,Lizardmen,2,2,0,0,1.0
EuroBowl - 2013,High Elves,Wood Elves,1,0,0,1,0.0
EuroBowl - 2013,High Elves,Chaos Pact,1,0,1,0,0.5
EuroBowl - 2013,High Elves,Undead,1,0,0,1,0.0
EuroBowl - 2013,High Elves,Orc,1,1,0,0,1.0
EuroBowl - 2013,High Elves,Dwarves,1,1,0,0,1.0
EuroBowl - 2013,High Elves,Skaven,2,1,0,1,0.5
EuroBowl - 2013,Lizardmen,Dark Elves,6,4,0,2,0.6666666666666666
EuroBowl - 2013,Lizardmen,Amazons,2,1,1,0,0.75
EuroBowl - 2013,Lizardmen,High Elves,2,0,0,2,0.0
EuroBowl - 2013,Lizardmen,Lizardmen,4,1,2,1,0.5
EuroBowl - 2013,Lizardmen,Wood Elves,10,4,0,6,0.4
EuroBowl - 2013,Lizardmen,Necromantic,4,1,1,2,0.375
EuroBowl - 2013,Lizardmen,Norse,5,3,0,2,0.6
EuroBowl - 2013,Lizardmen,Undead,12,5,3,4,0.5416666666666666
EuroBowl - 2013,Lizardmen,Chaos,1,1,0,0,1.0
EuroBowl - 2013,Lizardmen,Humans,2,0,1,1,0.25
EuroBowl - 2013,Lizardmen,Elves,1,0,1,0,0.5
EuroBowl - 2013,Lizardmen,Orc,2,1,1,0,0.75
EuroBowl - 2013,Lizardmen,Vampires,1,0,0,1,0.0
EuroBowl - 2013,Lizardmen,Dwarves,6,5,1,0,0.9166666666666666
EuroBowl - 2013,Lizardmen,Skaven,10,4,3,3,0.55
EuroBowl - 2013,Lizardmen,Underworld,1,0,0,1,0.0
EuroBowl - 2013,Lizardmen,Chaos Dwarves,2,0,0,2,0.0
EuroBowl - 2013,Wood Elves,Dark Elves,9,5,2,2,0.6666666666666666
EuroBowl - 2013,Wood Elves,Amazons,6,2,1,3,0.4166666666666667
EuroBowl - 2013,Wood Elves,High Elves,1,1,0,0,1.0
EuroBowl - 2013,Wood Elves,Lizardmen,10,6,0,4,0.6
EuroBowl - 2013,Wood Elves,Wood Elves,8,2,4,2,0.5
EuroBowl - 2013,Wood Elves,Nurgle's Rotters,2,1,1,0,0.75
EuroBowl - 2013,Wood Elves,Necromantic,4,1,1,2,0.375
EuroBowl - 2013,Wood Elves,Norse,5,2,2,1,0.6
EuroBowl - 2013,Wood Elves,Undead,9,5,1,3,0.6111111111111112
EuroBowl - 2013,Wood Elves,Chaos,1,1,0,0,1.0
EuroBowl - 2013,Wood Elves,Humans,1,1,0,0,1.0
EuroBowl - 2013,Wood Elves,Elves,1,0,1,0,0.5
EuroBowl - 2013,Wood Elves,Orc,18,6,5,7,0.4722222222222222
EuroBowl - 2013,Wood Elves,Vampires,1,1,0,0,1.0
EuroBowl - 2013,Wood Elves,Dwarves,13,4,7,2,0.5769230769230769
EuroBowl - 2013,Wood Elves,Skaven,5,4,1,0,0.9
EuroBowl - 2013,Wood Elves,Underworld,1,1,0,0,1.0
EuroBowl - 2013,Wood Elves,Chaos Dwarves,6,4,2,0,0.8333333333333334
EuroBowl - 2013,Nurgle's Rotters,Wood Elves,2,0,1,1,0.25
EuroBowl - 2013,Nurgle's Rotters,Norse,1,1,0,0,1.0
EuroBowl - 2013,Nurgle's Rotters,Undead,1,0,0,1,0.0
EuroBowl - 2013,Nurgle's Rotters,Orc,1,0,1,0,0.5
EuroBowl - 2013,Nurgle's Rotters,Skaven,1,1,0,0,1.0
EuroBowl - 2013,Necromantic,Dark Elves,2,1,1,0,0.75
EuroBowl - 2013,Necromantic,Lizardmen,4,2,1,1,0.625
EuroBowl - 2013,Necromantic,Wood Elves,4,2,1,1,0.625
EuroBowl - 2013,Necromantic,Chaos Pact,1,1,0,0,1.0
EuroBowl - 2013,Necromantic,Undead,3,1,1,1,0.5
EuroBowl - 2013,Necromantic,Chaos,1,0,1,0,0.5
EuroBowl - 2013,Necromantic,Humans,1,0,1,0,0.5
EuroBowl - 2013,Necromantic,Elves,1,0,0,1,0.0
EuroBowl - 2013,Necromantic,Orc,3,1,1,1,0.5
EuroBowl - 2013,Necromantic,Dwarves,2,0,2,0,0.5
EuroBowl - 2013,Necromantic,Skaven,1,1,0,0,1.0
EuroBowl - 2013,Norse,Dark Elves,4,2,0,2,0.5
EuroBowl - 2013,Norse,Slann,1,1,0,0,1.0
EuroBowl - 2013,Norse,Amazons,5,1,0,4,0.2
EuroBowl - 2013,Norse,Khemri,1,1,0,0,1.0
EuroBowl - 2013,Norse,Lizardmen,5,2,0,3,0.4
EuroBowl - 2013,Norse,Wood Elves,5,1,2,2,0.4
EuroBowl - 2013,Norse,Nurgle's Rotters,1,0,0,1,0.0
EuroBowl - 2013,Norse,Norse,2,1,0,1,0.5
EuroBowl - 2013,Norse,Chaos Pact,2,0,1,1,0.25
EuroBowl - 2013,Norse,Undead,5,0,1,4,0.1
EuroBowl - 2013,Norse,Humans,2,1,0,1,0.5
EuroBowl - 2013,Norse,Orc,10,6,1,3,0.65
EuroBowl - 2013,Norse,Dwarves,10,5,3,2,0.65
EuroBowl - 2013,Norse,Skaven,7,4,0,3,0.5714285714285714
EuroBowl - 2013,Norse,Chaos Dwarves,5,2,2,1,0.6
EuroBowl - 2013,Chaos Pact,Amazons,1,0,0,1,0.0
EuroBowl - 2013,Chaos Pact,High Elves,1,0,1,0,0.5
EuroBowl - 2013,Chaos Pact,Necromantic,1,0,0,1,0.0
EuroBowl - 2013,Chaos Pact,Norse,2,1,1,0,0.75
EuroBowl - 2013,Chaos Pact,Undead,2,2,0,0,1.0
EuroBowl - 2013,Chaos Pact,Chaos,1,1,0,0,1.0
EuroBowl - 2013,Chaos Pact,Elves,1,0,0,1,0.0
EuroBowl - 2013,Chaos Pact,Skaven,1,0,1,0,0.5
EuroBowl - 2013,Chaos Pact,Chaos Dwarves,2,1,0,1,0.5
EuroBowl - 2013,Undead,Dark Elves,7,2,2,3,0.42857142857142855
EuroBowl - 2013,Undead,Slann,1,0,1,0,0.5
EuroBowl - 2013,Undead,Amazons,4,2,0,2,0.5
EuroBowl - 2013,Undead,Khemri,1,1,0,0,1.0
EuroBowl - 2013,Undead,High Elves,1,1,0,0,1.0
EuroBowl - 2013,Undead,Lizardmen,12,4,3,5,0.4583333333333333
EuroBowl - 2013,Undead,Wood Elves,9,3,1,5,0.3888888888888889
EuroBowl - 2013,Undead,Nurgle's Rotters,1,1,0,0,1.0
EuroBowl - 2013,Undead,Necromantic,3,1,1,1,0.5
EuroBowl - 2013,Undead,Norse,5,4,1,0,0.9
EuroBowl - 2013,Undead,Chaos Pact,2,0,0,2,0.0
EuroBowl - 2013,Undead,Undead,4,1,2,1,0.5
EuroBowl - 2013,Undead,Humans,2,2,0,0,1.0
EuroBowl - 2013,Undead,Elves,2,1,0,1,0.5
EuroBowl - 2013,Undead,Orc,5,1,2,2,0.4
EuroBowl - 2013,Undead,Dwarves,7,2,3,2,0.5
EuroBowl - 2013,Undead,Skaven,7,3,1,3,0.5
EuroBowl - 2013,Undead,Underworld,1,0,1,0,0.5
EuroBowl - 2013,Undead,Chaos Dwarves,4,2,2,0,0.75
EuroBowl - 2013,Chaos,Lizardmen,1,0,0,1,0.0
EuroBowl - 2013,Chaos,Wood Elves,1,0,0,1,0.0
EuroBowl - 2013,Chaos,Necromantic,1,0,1,0,0.5
EuroBowl - 2013,Chaos,Chaos Pact,1,0,0,1,0.0
EuroBowl - 2013,Chaos,Humans,1,1,0,0,1.0
EuroBowl - 2013,Chaos,Elves,1,1,0,0,1.0
EuroBowl - 2013,Chaos,Dwarves,1,0,1,0,0.5
EuroBowl - 2013,Chaos,Skaven,1,0,1,0,0.5
EuroBowl - 2013,Chaos,Chaos Dwarves,4,1,0,3,0.25
EuroBowl - 2013,Humans,Amazons,2,1,0,1,0.5
EuroBowl - 2013,Humans,Halflings,2,1,1,0,0.75
EuroBowl - 2013,Humans,Lizardmen,2,1,1,0,0.75
EuroBowl - 2013,Humans,Wood Elves,1,0,0,1,0.0
EuroBowl - 2013,Humans,Necromantic,1,0,1,0,0.5
EuroBowl - 2013,Humans,Norse,2,1,0,1,0.5
EuroBowl - 2013,Humans,Undead,2,0,0,2,0.0
EuroBowl - 2013,Humans,Chaos,1,0,0,1,0.0
EuroBowl - 2013,Humans,Elves,1,1,0,0,1.0
EuroBowl - 2013,Humans,Orc,5,0,1,4,0.1
EuroBowl - 2013,Humans,Dwarves,4,0,2,2,0.25
EuroBowl - 2013,Humans,Skaven,1,0,0,1,0.0
EuroBowl - 2013,Elves,Dark Elves,1,1,0,0,1.0
EuroBowl - 2013,Elves,Amazons,1,0,1,0,0.5
EuroBowl - 2013,Elves,Khemri,1,1,0,0,1.0
EuroBowl - 2013,Elves,Lizardmen,1,0,1,0,0.5
EuroBowl - 2013,Elves,Wood Elves,1,0,1,0,0.5
EuroBowl - 2013,Elves,Necromantic,1,1,0,0,1.0
EuroBowl - 2013,Elves,Chaos Pact,1,1,0,0,1.0
EuroBowl - 2013,Elves,Undead,2,1,0,1,0.5
EuroBowl - 2013,Elves,Chaos,1,0,0,1,0.0
EuroBowl - 2013,Elves,Humans,1,0,0,1,0.0
EuroBowl - 2013,Elves,Orc,2,2,0,0,1.0
EuroBowl - 2013,Elves,Dwarves,2,0,0,2,0.0
EuroBowl - 2013,Elves,Skaven,2,0,0,2,0.0
EuroBowl - 2013,Elves,Chaos Dwarves,1,0,0,1,0.0
EuroBowl - 2013,Orc,Dark Elves,10,4,1,5,0.45
EuroBowl - 2013,Orc,Amazons,3,1,0,2,0.3333333333333333
EuroBowl - 2013,Orc,Khemri,1,1,0,0,1.0
EuroBowl - 2013,Orc,High Elves,1,0,0,1,0.0
EuroBowl - 2013,Orc,Lizardmen,2,0,1,1,0.25
EuroBowl - 2013,Orc,Wood Elves,18,7,5,6,0.5277777777777778
EuroBowl - 2013,Orc,Nurgle's Rotters,1,0,1,0,0.5
EuroBowl - 2013,Orc,Necromantic,3,1,1,1,0.5
EuroBowl - 2013,Orc,Norse,10,3,1,6,0.35
EuroBowl - 2013,Orc,Undead,5,2,2,1,0.6
EuroBowl - 2013,Orc,Humans,5,4,1,0,0.9
EuroBowl - 2013,Orc,Elves,2,0,0,2,0.0
EuroBowl - 2013,Orc,Orc,4,1,2,1,0.5
EuroBowl - 2013,Orc,Vampires,3,0,1,2,0.16666666666666666
EuroBowl - 2013,Orc,Dwarves,13,7,3,3,0.6538461538461539
EuroBowl - 2013,Orc,Skaven,3,1,1,1,0.5
EuroBowl - 2013,Orc,Underworld,1,0,0,1,0.0
EuroBowl - 2013,Orc,Chaos Dwarves,5,1,2,2,0.4
EuroBowl - 2013,Vampires,Lizardmen,1,1,0,0,1.0
EuroBowl - 2013,Vampires,Wood Elves,1,0,0,1,0.0
EuroBowl - 2013,Vampires,Orc,3,2,1,0,0.8333333333333334
EuroBowl - 2013,Vampires,Dwarves,1,0,1,0,0.5
EuroBowl - 2013,Dwarves,Dark Elves,4,1,0,3,0.25
EuroBowl - 2013,Dwarves,Slann,1,0,0,1,0.0
EuroBowl - 2013,Dwarves,Amazons,4,1,2,1,0.5
EuroBowl - 2013,Dwarves,Halflings,1,0,1,0,0.5
EuroBowl - 2013,Dwarves,Khemri,1,1,0,0,1.0
EuroBowl - 2013,Dwarves,High Elves,1,0,0,1,0.0
EuroBowl - 2013,Dwarves,Lizardmen,6,0,1,5,0.08333333333333333
EuroBowl - 2013,Dwarves,Wood Elves,13,2,7,4,0.4230769230769231
EuroBowl - 2013,Dwarves,Necromantic,2,0,2,0,0.5
EuroBowl - 2013,Dwarves,Norse,10,2,3,5,0.35
EuroBowl - 2013,Dwarves,Undead,7,2,3,2,0.5
EuroBowl - 2013,Dwarves,Chaos,1,0,1,0,0.5
EuroBowl - 2013,Dwarves,Humans,4,2,2,0,0.75
EuroBowl - 2013,Dwarves,Elves,2,2,0,0,1.0
EuroBowl - 2013,Dwarves,Orc,13,3,3,7,0.34615384615384615
EuroBowl - 2013,Dwarves,Vampires,1,0,1,0,0.5
EuroBowl - 2013,Dwarves,Dwarves,8,4,0,4,0.5
EuroBowl - 2013,Dwarves,Skaven,4,2,1,1,0.625
EuroBowl - 2013,Skaven,Dark Elves,4,1,0,3,0.25
EuroBowl - 2013,Skaven,Slann,1,0,0,1,0.0
EuroBowl - 2013,Skaven,High Elves,2,1,0,1,0.5
EuroBowl - 2013,Skaven,Lizardmen,10,3,3,4,0.45
EuroBowl - 2013,Skaven,Wood Elves,5,0,1,4,0.1
EuroBowl - 2013,Skaven,Nurgle's Rotters,1,0,0,1,0.0
EuroBowl - 2013,Skaven,Necromantic,1,0,0,1,0.0
EuroBowl - 2013,Skaven,Norse,7,3,0,4,0.42857142857142855
EuroBowl - 2013,Skaven,Chaos Pact,1,0,1,0,0.5
EuroBowl - 2013,Skaven,Undead,7,3,1,3,0.5
EuroBowl - 2013,Skaven,Chaos,1,0,1,0,0.5
